YearDisplay,RegionCode,RegionDisplay,beer_servings,spirit_servings,wine_servings,CountryCode,CountryDisplay,SexDisplay,DisplayValue,litres_of_pure_alcohol
1990,AMR,Americas,0,0,0,NIC,Nicaragua,Male,68,0
2012,EUR,Europe,89,132,54,IRL,Ireland,Male,69,4.9
2000,EMR,Eastern Mediterranean,25,0,14,YEM,Yemen,Both sexes,61,0.7
2000,AFR,Africa,245,138,312,NGA,Nigeria,Female,48,12.4
1990,SEAR,South_East Asia,217,57,45,THA,Thailand,Female,19,5.9
2012,AMR,Americas,102,128,45,CHL,Chile,Both sexes,80,4.9
2013,AFR,Africa,193,25,221,ZWE,Zimbabwe,Both sexes,59,8.3
2013,EUR,Europe,21,179,11,DEU,Germany,Both sexes,24,3.8
2013,EUR,Europe,261,72,212,ESP,Spain,Male,80,10.4
1990,AFR,Africa,279,75,191,BWA,Botswana,Female,17,9.7
2000,EMR,Eastern Mediterranean,21,46,5,PAK,Pakistan,Female,54,1.3
2012,WPR,Western Pacific,122,176,51,NIU,Niue,Male,17,6.3
1990,WPR,Western Pacific,42,63,7,WSM,Samoa,Male,14,2
1990,WPR,Western Pacific,0,0,0,JPN,Japan,Both sexes,79,0
2000,WPR,Western Pacific,143,173,36,MNG,Mongolia,Female,58,6.3
1990,AMR,Americas,142,373,42,BLZ,Belize,Male,69,14.4
1990,AMR,Americas,295,84,212,MEX,Mexico,Male,68,10.5
2013,AMR,Americas,263,114,8,BRA,Brazil,Male,72,6.8
2012,WPR,Western Pacific,34,4,13,AUS,Australia,Both sexes,25,1.1
2013,WPR,Western Pacific,23,0,0,NIU,Niue,Female,21,0.4
2000,AFR,Africa,167,41,8,RWA,Rwanda,Male,39,3.8
2012,AMR,Americas,76,173,8,BOL,Bolivia (Plurinational State of),Both sexes,59,4.6
2012,EUR,Europe,173,35,35,AND,Andorra,Both sexes,72,5.4
2013,AMR,Americas,245,145,16,LCA,Saint Lucia,Both sexes,75,7.2
2013,EMR,Eastern Mediterranean,31,2,1,DJI,Djibouti,Both sexes,16,0.6
2013,SEAR,South_East Asia,231,252,94,BTN,Bhutan,Both sexes,19,10.3
2012,WPR,Western Pacific,25,7,7,TON,Tonga,Both sexes,62,4.3
1990,EUR,Europe,88,0,0,BGR,Bulgaria,Female,75,6.3
2013,EMR,Eastern Mediterranean,37,1,7,SYR,Syrian Arab Republic,Female,22,4
2013,WPR,Western Pacific,144,56,16,MNG,Mongolia,Female,18,4
